Species,Site,Chl.a,Chl.c
Saccorhiza polyschides,Walter Rocks,1.52550783,0.120979495
Saccorhiza polyschides,Walter Rocks,1.414772849,0.08854783
Saccorhiza polyschides,Walter Rocks,1.046389256,0
Saccorhiza polyschides,Walter Rocks,1.544160598,0.04493943
Saccorhiza polyschides,Walter Rocks,0.846102301,0.029296613
Saccorhiza polyschides,Walter Rocks,1.421969395,0.002340281
Saccorhiza polyschides,Walter Rocks,0.610018332,0.025687467
Saccorhiza polyschides,Walter Rocks,0.927481098,0.058241817
Saccorhiza polyschides,Walter Rocks,0.913017028,0.057292335
Saccorhiza polyschides,Walter Rocks,0.36550804,0.009094558
Laminaria digitata,Walter Rocks,0.70858388,0.019104754
Laminaria digitata,Walter Rocks,1.193617347,0.050139802
Laminaria digitata,Walter Rocks,0.932051753,0.035864706
Laminaria hyperborea,Walter Rocks,0.538052698,0.025976802
Laminaria hyperborea,Walter Rocks,0.655153425,0.031665377
Laminaria hyperborea,Walter Rocks,0.60987855,0.008245652
Saccharina latissima,Walter Rocks,1.512796893,0.096104746
Saccharina latissima,Walter Rocks,2.40610566,0.143208862
Saccharina latissima,Walter Rocks,1.78039474,0.105042375
Saccorhiza polyschides,Walter Rocks,1.04761003,0.058746804
Saccorhiza polyschides,Walter Rocks,0.866332733,0.047791091
Saccorhiza polyschides,Walter Rocks,1.714684596,0.100945671
Laminaria digitata,Walter Rocks,0.808261104,0.027961438
Laminaria digitata,Walter Rocks,0.691145739,0.034471223
Laminaria digitata,Walter Rocks,0.899283784,0.039609491
Laminaria hyperborea,Walter Rocks,0.471674313,0.029690145
Laminaria hyperborea,Walter Rocks,0.461941876,0.025110837
Laminaria hyperborea,Walter Rocks,0.44885737,0.025395643
Saccharina latissima,Walter Rocks,1.328395146,0.069457293
Saccharina latissima,Walter Rocks,0.946673449,0.05637552
Saccharina latissima,Walter Rocks,0.89314855,0.056597699
Saccorhiza polyschides,Walter Rocks,0.883732389,0.001013633
Saccorhiza polyschides,Walter Rocks,0.563284394,0.021434303
Laminaria digitata,Walter Rocks,0.833603234,0.027538933
Laminaria digitata,Walter Rocks,0.57757747,0.020158382
Laminaria hyperborea,Walter Rocks,0.606081251,0.040600155
Laminaria hyperborea,Walter Rocks,0.554761103,0.032717135
Saccharina latissima,Walter Rocks,1.618850694,0.112428673
Saccorhiza polyschides,Walter Rocks,0.795034078,0.048732541
Saccorhiza polyschides,Walter Rocks,0.46811069,0.019325111
Laminaria hyperborea,Walter Rocks,0.527618778,0.027333871
Laminaria hyperborea,Walter Rocks,0.541959928,0.034610084
Laminaria digitata,Walter Rocks,0.811665827,0.03474233
Saccharina latissima,Walter Rocks,1.055115145,0.054606834
Saccharina latissima,Walter Rocks,0.92352245,0.05257795
Laminaria digitata,Walter Rocks,0.908796619,0.026653569
Laminaria digitata,Walter Rocks,0.880250624,0.032291
Laminaria digitata,Walter Rocks,0.813065406,0.042423367
Laminaria hyperborea,Walter Rocks,0.540347817,0.014022342
Laminaria hyperborea,Walter Rocks,0.459577933,0.021850064
Saccharina latissima,Walter Rocks,1.334173846,0.103580047
Saccorhiza polyschides,Walter Rocks,0.667201334,0.03461701
Laminaria digitata,Walter Rocks,1.307556319,0.045957556
Laminaria digitata,Walter Rocks,1.07329793,0.029820117
Laminaria digitata,Walter Rocks,0.566129423,0.014039987
Laminaria hyperborea,Walter Rocks,0.555280726,0.033483183
Laminaria hyperborea,Walter Rocks,0.48695646,0.028411316
Saccharina latissima,Walter Rocks,0.562604867,0.016900211
Laminaria digitata,Walter Rocks,0.864260391,0.030126181
Laminaria hyperborea,Walter Rocks,0.488904676,0.03080318
Saccorhiza polyschides,Walter Rocks,1.359592226,0.109588232
Saccorhiza polyschides,Walter Rocks,1.369969892,0.093162363
Laminaria digitata,Walter Rocks,0.803646658,0.01641845
Laminaria digitata,Walter Rocks,0.77844221,0.033860214
Laminaria digitata,Walter Rocks,0.897184852,0.039813192
Laminaria hyperborea,Walter Rocks,0.472419838,0.028156602
Laminaria hyperborea,Walter Rocks,0.484159695,0.029474851
Laminaria hyperborea,Walter Rocks,0.519112798,0.033541431
Saccharina latissima,Walter Rocks,1.879894937,0.151129126
Saccharina latissima,Walter Rocks,1.811469383,0.154229632
Laminaria digitata,Walter Rocks,0.682975683,0.029188543
Laminaria hyperborea,Walter Rocks,0.6000715,0.039616308
Laminaria hyperborea,Walter Rocks,0.496500018,0.029371074
Saccharina latissima,Walter Rocks,1.349384162,0.175230509
Laminaria digitata,Walter Rocks,0.83744725,0.036549813
Laminaria digitata,Walter Rocks,0.926657195,0.036625377
Laminaria hyperborea,Walter Rocks,0.459871786,0.027560636
Laminaria hyperborea,Walter Rocks,0.426413303,0.026498124
Laminaria digitata,Walter Rocks,0.785748307,0.025283843
Laminaria hyperborea,Walter Rocks,0.642442135,0.03882438
Laminaria hyperborea,Walter Rocks,0.67815112,0.026944203
Saccharina latissima,Walter Rocks,1.214673893,0.080085159
Saccorhiza polyschides,Walter Rocks,1.169552143,0.078435606
Saccorhiza polyschides,Walter Rocks,0.858993819,0.054987639
Saccorhiza polyschides,Walter Rocks,1.246438537,0.168506314
Laminaria digitata,Walter Rocks,0.879527511,0.039454401
Laminaria digitata,Walter Rocks,0.774833767,0.026137996
